informaticien,informaticienLabel,date_de_naissance,sexe_ou_genre,sexe_ou_genreLabel,lieu_de_naissance,lieu_de_naissanceLabel
http://www.wikidata.org/entity/Q92782,William Kahan,1933-06-05T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q92783,Fred Cohen,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92784,David Albert Huffman,1925-08-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92786,Tom Kilburn,1921-08-11T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92787,Maurice Karnaugh,1924-10-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92788,Bill Atkinson,1951-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92789,Ron Jeffries,1939-12-26T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92790,James Rumbaugh,1947-08-22T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92792,Blake Ross,1985-06-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92793,Róbert Szelepcsényi,1966-08-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q214,Slovaquie
http://www.wikidata.org/entity/Q92794,Jeffrey Ullman,1942-11-22T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92795,Juraj Hromkovič,1958-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q214,Slovaquie
http://www.wikidata.org/entity/Q92797,Seymour Ginsburg,1927-12-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92798,David Goldberg,1953-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92800,David Neil Cutler,1942-03-13T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92801,David S. Johnson,1945-12-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92803,Grady Booch,1955-02-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92804,Donald Norman,1935-12-25T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
